medicine_name,description,uses,dosage
Acetaminophen,Acetaminophen is a common pain reliever and fever reducer.,Used to treat mild to moderate pain and reduce fever.,The usual adult dose is 500 mg to 1000 mg every 4 to 6 hours.
Amlodipine,Amlodipine is a calcium channel blocker used to treat high blood pressure and angina.,Used for hypertension and angina.,5 mg to 10 mg once daily.
Allopurinol,Allopurinol is a medication used to reduce uric acid levels in the body.,Used to manage gout and certain types of kidney stones.,100 mg to 300 mg daily.
Aspirin,Aspirin is a salicylate used to reduce pain, fever, or inflammation.,Used to treat pain, and reduce fever or inflammation.,325 mg to 650 mg every 4 hours as needed.
Bisoprolol,Bisoprolol is a beta-blocker used to treat high blood pressure and heart-related conditions.,Used to manage hypertension and chronic heart failure.,5 mg to 10 mg once daily.
Bupropion,Bupropion is an antidepressant used to treat major depressive disorder and to help with smoking cessation.,Used for depression and smoking cessation.,100 mg to 400 mg daily, divided into 2 to 3 doses.
Cetirizine,Cetirizine is an antihistamine used to relieve allergy symptoms.,Used to treat symptoms of seasonal allergies and chronic urticaria.,5 mg to 10 mg once daily.
Chlorpheniramine,Chlorpheniramine is an antihistamine used to relieve allergy symptoms.,Used to treat symptoms such as sneezing, runny nose, and itchy eyes.,4 mg every 4 to 6 hours as needed.
Clonidine,Clonidine is an alpha-2 adrenergic agonist used to treat high blood pressure.,Used for hypertension and sometimes for withdrawal symptoms.,0.1 mg to 0.3 mg twice daily.
Clopidogrel,Clopidogrel is an antiplatelet medication used to prevent blood clots.,Used to reduce the risk of heart attack and stroke.,75 mg once daily.
Codeine,Codeine is an opioid used to relieve mild to moderate pain.,Used to manage pain that is not relieved by other pain relievers.,15 mg to 60 mg every 4 to 6 hours as needed.
Ciprofloxacin,Ciprofloxacin is an antibiotic used to treat bacterial infections.,Used for infections such as respiratory, urinary tract, and skin infections.,250 mg to 750 mg every 12 hours.
Dexamethasone,Dexamethasone is a corticosteroid used to reduce inflammation.,Used to treat conditions such as arthritis, severe allergies, and certain cancers.,0.75 mg to 9 mg daily, depending on the condition.
Diphenhydramine,Diphenhydramine is an antihistamine used to relieve allergy symptoms.,Used to treat symptoms of allergy, hay fever, and the common cold.,25 mg to 50 mg every 4 to 6 hours as needed.
Doxycycline,Doxycycline is an antibiotic used to treat bacterial infections.,Used for various infections including respiratory infections and acne.,100 mg twice daily.
Dolo 360,Dolo 360 is a brand of paracetamol used to relieve pain and fever.,Used to treat mild to moderate pain and reduce fever.,The usual adult dose is 360 mg every 4 to 6 hours as needed.
Dolo 650,Dolo 650 is a brand of paracetamol used to relieve pain and fever.,Used to treat mild to moderate pain and reduce fever.,The usual adult dose is 650 mg every 4 to 6 hours as needed.
Ezetimibe,Ezetimibe is used to lower cholesterol levels.,Used in combination with statins to reduce LDL cholesterol.,10 mg once daily.
Furosemide,Furosemide is a diuretic used to treat fluid retention and high blood pressure.,Used to manage edema and hypertension.,20 mg to 80 mg once or twice daily.
Gabapentin,Gabapentin is used to treat nerve pain and prevent seizures.,Used for neuropathic pain and as an adjunctive treatment for seizures.,300 mg to 600 mg three times a day.
Glyburide,Glyburide is an oral medication used to manage type 2 diabetes.,Used to help control blood sugar levels.,1.25 mg to 20 mg daily, divided into 1 to 2 doses.
Hydrochlorothiazide,Hydrochlorothiazide is a diuretic used to treat high blood pressure and fluid retention.,Used to manage hypertension and edema.,25 mg to 50 mg once daily.
Ibuprofen,Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID).,Used to reduce fever and treat pain or inflammation.,200 mg to 400 mg every 4 to 6 hours as needed.
Lisinopril,Lisinopril is an ACE inhibitor used to treat high blood pressure and heart failure.,Used to manage hypertension and heart failure.,10 mg to 40 mg once daily.
Lorazepam,Lorazepam is a benzodiazepine used to relieve anxiety.,Used to treat anxiety disorders and short-term relief of anxiety.,2 mg to 4 mg per day, divided into 2 to 3 doses.
Loratadine,Loratadine is a non-drowsy antihistamine used for allergy relief.,Used to relieve allergy symptoms such as runny nose, sneezing, and itching.,10 mg once daily.
Losartan,Losartan is an angiotensin II receptor blocker (ARB) used to treat high blood pressure.,Used to manage hypertension and reduce the risk of stroke.,50 mg to 100 mg once daily.
Metformin,Metformin is an oral medication used to manage type 2 diabetes.,Used to help control blood sugar levels.,500 mg to 1000 mg twice daily with meals.
Metoprolol,Metoprolol is a beta-blocker used to treat high blood pressure and heart conditions.,Used for hypertension, angina, and heart failure.,25 mg to 100 mg twice daily.
Methylprednisolone,Methylprednisolone is a corticosteroid used to reduce inflammation.,Used to treat various inflammatory conditions.,4 mg to 48 mg daily, depending on the condition.
Mometasone,Mometasone is a corticosteroid used to treat allergic rhinitis and skin conditions.,Used to reduce inflammation and allergic reactions.,50 mcg once or twice daily in each nostril.
Naproxen,Naproxen is a nonsteroidal anti-inflammatory drug (NSAID).,Used to reduce inflammation, pain, and fever.,250 mg to 500 mg twice daily.
Nifedipine,Nifedipine is a calcium channel blocker used to treat high blood pressure and angina.,Used to manage hypertension and angina.,30 mg to 90 mg once daily.
Nystatin,Nystatin is an antifungal used to treat fungal infections.,Used to manage oral and intestinal candidiasis.,500,000 units 3 to 4 times daily.
Omeprazole,Omeprazole is a proton pump inhibitor that reduces stomach acid.,Used to treat gastroesophageal reflux disease (GERD) and stomach ulcers.,20 mg to 40 mg once daily.
Paracetamol,Paracetamol is a pain reliever and a fever reducer.,Used to treat mild to moderate pain and reduce fever.,The usual adult dose is 500 mg to 1000 mg every 4 to 6 hours.
Prednisone,Prednisone is a corticosteroid used to reduce inflammation and suppress the immune system.,Used to treat a variety of conditions including allergies, arthritis, and asthma.,5 mg to 60 mg per day, depending on the condition.
Propranolol,Propranolol is a beta-blocker used to treat high blood pressure, angina, and other conditions.,Used for hypertension, tremors, and migraine prevention.,40 mg to 320 mg daily, divided into 2 to 4 doses.
Ranitidine,Ranitidine is an H2 antagonist used to reduce stomach acid.,Used to treat and prevent ulcers and gastroesophageal reflux disease (GERD).,150 mg twice daily or 300 mg once daily at bedtime.
Risperidone,Risperidone is an antipsychotic used to treat schizophrenia and bipolar disorder.,Used to manage symptoms of schizophrenia and mood disorders.,2 mg to 4 mg daily.
Simvastatin,Simvastatin is a statin used to lower cholesterol levels.,Used to reduce the risk of heart disease and stroke.,The usual dose is 10 mg to 40 mg once daily in the evening.
Supradyn,Supradyn is a multivitamin supplement.,Used to help meet nutritional needs and support overall health.,1 tablet daily with a meal.
Tadalafil,Tadalafil is a phosphodiesterase type 5 (PDE5) inhibitor used to treat erectile dysfunction.,Used to help achieve and maintain an erection.,10 mg to 20 mg before sexual activity.
Tamsulosin,Tamsulosin is an alpha-blocker used to treat symptoms of benign prostatic hyperplasia (BPH).,Used to improve urine flow in men with BPH.,0.4 mg once daily.
Terbinafine,Terbinafine is an antifungal used to treat fungal infections of the skin and nails.,Used for onychomycosis and athlete's foot.,250 mg daily.
Venlafaxine,Venlafaxine is a serotonin-norepinephrine reuptake inhibitor (SNRI) used to treat depression and anxiety.,Used for major depressive disorder and generalized anxiety disorder.,75 mg to 300 mg daily.
